ñ¡ïøî‘çÜ,åªç›âøäi,åàéZì˙Ç‹Ç≈,å†óòóéÇøÇ‹Ç≈,ï™äÑì˙Ç‹Ç≈,éûâøëçäz,ó\ëzPER,PBR,ó\ëzEPS,BPS,îzìñê´å¸,ÉxÅ[É^íl,âﬂãéîzìñäz,âﬂãéîzìñóòâÒÇË,ïΩãœîzìñóòâÒÇË,åªç›îzìñäz,åªç›îzìñóòâÒÇË,52èTà¿íl,52èTçÇíl,êÑèß,ÉAÉiÉäÉXÉgà”å©êî,Open,High,Low,Close,Adj Close,Volume,MACD,Signal_Line,MACD_Signal_difference,DI+,DI-,DI+DI-_difference,Parabolic_SAR,Parabolic_SAR_difference,RSI_14,%K,Psychological_Line,RCI_26,MA_Deviation,MACD_Percentile,MACD_Current Deviation,MACD_Signal_difference_Percentile,MACD_Signal_difference_Current Deviation,DI+_Percentile,DI+_Current Deviation,DI-_Percentile,DI-_Current Deviation,DI+DI-_difference_Percentile,DI+DI-_difference_Current Deviation,Parabolic_SAR_Percentile,Parabolic_SAR_Current Deviation,Parabolic_SAR_difference_Percentile,Parabolic_SAR_difference_Current Deviation,RSI_14_Percentile,RSI_14_Current Deviation,%K_Percentile,%K_Current Deviation,Psychological_Line_Percentile,Psychological_Line_Current Deviation,RCI_26_Percentile,RCI_26_Current Deviation,MA_Deviation_Percentile,MA_Deviation_Current Deviation,MACD_Signal_Line_Last_Cross,MACD_Signal_Line_Last_Cross_Day,MACD_Signal_Line_Next_Cross_Day,DI+_DI-_Last_Cross,DI+_DI-_Last_Cross_Day,DI+_DI-_Next_Cross_Day
2531.T,1282.5,71,115,,250415824896,13.701923,1.0358607,93.6,1238.101,0.32970002,0.473,29.0,0.022489337,2.52,31.0,0.024,996.1,1300.0,none,,1286.0,1292.0,1275.5,1282.5,1282.5,600400,36.89,26.692,10.198,57.218,17.469,39.749,1180.171,102.329,76.887,93.949,75.0,91.179,9.751,82.665,0.801,79.213,0.658,93.669,1.519,8.036,-1.35,94.075,1.493,77.59,0.459,80.0,0.679,92.863,1.464,86.375,1.29,91.498,1.63,94.021,1.409,83.797,0.95,Golden,165,29.02173913043478,Golden,90,38.84057971014494
2678.T,1865.0,10,167,-1294,177245863936,14.880714,2.3646357,125.33,788.705,0.1849,0.304,36.0,0.019323671,1.57,38.0,0.020399999,1831.0,2440.0,hold,9,1876.0,1886.0,1865.0,1865.0,1865.0,247100,-73.388,-52.074,-21.314,13.1,48.249,-35.149,2034.004,-169.004,12.619,9.428,41.667,-90.154,-10.413,10.97,-1.075,15.671,-0.89,4.071,-1.788,85.402,1.005,6.554,-1.454,88.725,1.226,30.98,-0.609,0.794,-2.271,16.27,-1.219,18.218,-0.617,0.602,-1.504,19.96,-0.667,Dead,180,-20.543478260869563,Dead,155,-30.51724137931035
2681.T,1603.0,66,115,-4086,63655931904,5.961324,0.7104939,268.9,2256.177,0.16950001,-0.334,17.0,0.010493827,1.97,34.0,0.021,1271.0,2511.0,strong_buy,,1630.0,1630.0,1600.0,1603.0,1603.0,150800,-64.642,-86.063,21.421,33.368,35.855,-2.487,1278.38,324.62,52.736,83.983,58.333,-62.325,1.974,15.734,-0.765,83.205,0.778,41.292,-0.255,52.544,0.07,43.64,-0.168,45.604,-0.306,92.174,1.356,55.23,0.095,77.713,1.053,63.317,0.582,25.223,-1.009,58.597,0.224,Golden,95,114.02777777777777,Dead,0,123.0327868852459
2730.T,1803.0,59,115,,191231590400,14.516909,0.8593866,124.2,2098.008,0.431,0.317,23.0,0.012784881,3.21,46.0,0.0256,1464.0,1881.0,none,1,1800.0,1811.0,1786.0,1803.0,1803.0,520000,44.833,53.307,-8.474,38.264,30.375,7.89,1835.457,-32.457,53.295,57.639,41.667,67.863,2.857,81.537,0.606,22.085,-0.505,49.911,0.014,43.202,-0.2,52.326,0.115,94.43,1.744,42.617,-0.192,49.151,0.005,50.402,0.127,18.822,-0.641,66.396,0.834,53.069,0.195,Dead,40,160.97560975609755,Golden,195,-42.5
2734.T,823.0,38,-5,,52818657280,,0.6602741,,1246.452,0.2943,0.038,26.0,0.03237858,3.37,34.0,0.0423,693.0,889.0,none,,806.0,827.0,805.0,823.0,823.0,247200,3.547,8.551,-5.003,31.532,31.231,0.3,795.804,27.196,48.374,30.263,50.0,18.701,-0.418,58.938,0.133,12.655,-0.888,39.158,-0.305,40.502,-0.25,48.477,-0.019,95.837,1.991,61.47,0.413,41.898,-0.174,28.559,-0.705,38.248,0.024,55.928,0.23,43.038,-0.04,Dead,28,141.47916666666666,Golden,13,71.14893617021276
2735.T,685.0,38,86,-4298,9015216128,12.875939,0.72029823,53.2,950.995,0.2191,0.422,15.0,0.022123894,2.05,15.0,0.0221,562.0,859.0,none,,698.0,704.0,679.0,685.0,685.0,129200,0.736,15.948,-15.211,24.715,26.046,-1.331,817.826,-132.826,46.032,6.707,41.667,26.701,-7.334,55.014,0.083,8.762,-1.309,25.252,-0.761,29.186,-0.635,48.124,-0.027,68.807,0.49,13.291,-1.019,41.682,-0.19,14.625,-1.191,19.343,-0.584,56.932,0.382,27.978,-0.288,Dead,45,181.94444444444446,Dead,15,128.48214285714286
2792.T,1648.0,36,177,-6858,45921189888,7.174576,1.0408726,229.7,1583.287,0.3143,0.532,55.0,0.033333335,3.15,55.0,0.033299997,1371.0,1870.0,none,,1646.0,1656.0,1639.0,1648.0,1648.0,53900,7.725,5.799,1.926,45.439,29.948,15.491,1581.536,66.464,64.477,41.279,41.667,72.308,2.587,58.204,0.042,54.18,0.038,76.649,0.658,33.927,-0.427,73.194,0.572,78.822,-0.032,61.674,0.215,79.393,0.834,46.967,-0.196,22.651,-0.499,83.581,1.216,61.27,0.274,Golden,85,100.39473684210526,Golden,15,110.44642857142857
2918.T,1997.0,37,86,,34878402560,9.96507,0.6060864,200.4,3294.91,0.36360002,0.117,135.0,0.06794162,3.13,90.0,0.045300003,1943.0,3715.0,none,1,1986.0,2002.0,1976.0,1997.0,1997.0,73000,-145.05,-126.331,-18.719,11.449,49.747,-38.298,2391.572,-394.572,21.909,6.203,16.667,-54.53,-14.356,2.629,-1.872,17.642,-0.678,3.004,-1.816,82.661,0.932,9.099,-1.446,83.022,1.04,5.857,-1.545,5.832,-1.646,12.436,-1.308,0.428,-2.295,27.73,-0.886,9.437,-1.293,Dead,45,139.68085106382978,Dead,115,-1.4864864864864842
2929.T,994.0,8,58,-3597,27903766528,6.3963966,2.4086168,155.4,412.685,0.2218,1.352,25.0,0.025406504,,25.0,0.0254,800.0,1283.0,none,,950.0,996.0,950.0,994.0,994.0,226700,-14.165,-27.629,13.464,30.94,28.376,2.564,1013.859,-19.859,51.724,96.341,50.0,-28.0,3.976,35.307,-0.174,84.358,0.525,41.544,-0.305,30.874,-0.567,53.916,0.122,76.734,0.416,49.441,0.078,58.05,0.27,96.599,1.905,55.43,0.368,46.552,-0.247,65.327,0.337,Golden,15,194.83870967741936,Golden,10,125.31914893617022
2975.T,685.0,38,-5,-735,22690213888,,0.91092116,,751.986,0.2523,,20.5,0.03041543,2.63,23.0,0.0341,494.0,710.0,none,,674.0,690.0,674.0,685.0,685.0,73100,15.344,9.501,5.843,47.619,19.388,28.231,540.105,144.895,73.446,94.792,83.333,31.624,6.733,76.384,0.675,73.063,0.573,87.16,1.218,6.226,-1.511,91.829,1.447,8.889,-1.331,88.148,1.32,96.512,1.947,94.961,1.743,99.615,2.44,76.829,0.961,84.211,0.9,Golden,40,123.33333333333334,Golden,15,101.42857142857143
3003.T,1416.5,56,24,-6369,1078761095168,10.39862,1.3822694,136.22,1024.764,0.4456,0.379,53.0,0.038129497,3.37,56.0,0.0403,1260.5,1648.0,none,6,1401.0,1422.0,1398.5,1416.5,1416.5,4012300,-8.456,-5.64,-2.816,32.009,34.768,-2.759,1376.115,40.385,46.766,15.063,25.0,-30.256,-1.872,33.945,-0.172,36.03,-0.132,37.3,-0.418,46.414,-0.061,45.148,-0.185,82.471,0.402,56.344,0.188,39.966,-0.329,16.863,-1.156,2.104,-1.778,39.438,-0.538,40.596,-0.078,Dead,53,147.93023255813952,Dead,0,116.41095890410959
3034.T,1479.0,59,115,-4633,55368585216,4.520171,1.0266869,327.2,1440.556,0.2838,-0.033,15.0,0.01017639,2.1,34.0,0.0231,1187.0,1863.0,none,,1487.0,1504.0,1479.0,1479.0,1479.0,80800,-30.934,-41.625,10.69,27.307,36.157,-8.85,1322.0,157.0,51.268,86.264,58.333,-23.556,1.92,21.099,-0.651,78.027,0.538,17.789,-0.944,61.118,0.24,26.684,-0.606,53.5,0.244,81.625,0.803,44.543,-0.137,79.442,1.05,54.177,0.405,31.572,-0.608,50.837,0.037,Golden,63,142.0,Dead,0,103.9245283018868
3036.T,1490.0,65,115,-2653,45046423552,,0.64036417,,2326.801,0.77279997,0.389,28.0,0.01899593,3.56,64.0,0.0434,1229.0,1592.0,none,,1474.0,1499.0,1474.0,1490.0,1490.0,103900,4.106,-4.229,8.335,45.92,29.412,16.509,1285.286,204.714,61.198,94.767,41.667,-45.368,4.062,52.058,-0.038,72.397,0.427,71.921,0.525,38.793,-0.376,65.887,0.465,66.788,0.619,90.667,1.205,68.389,0.529,89.299,1.321,20.859,-0.56,28.589,-0.84,60.599,0.254,Golden,13,175.28125,Golden,13,136.73684210526315
3048.T,1679.5,38,86,-3933,287501877248,21.487972,1.8858963,78.16,890.558,0.4065,0.264,33.0,0.01983173,1.37,40.0,0.024,1220.0,1815.0,none,3,1665.5,1695.0,1646.0,1679.5,1679.5,752000,49.758,57.293,-7.535,42.068,28.835,13.233,1595.364,84.136,54.372,53.596,58.333,44.957,3.612,85.943,0.747,20.623,-0.411,60.562,0.271,34.072,-0.478,63.203,0.391,94.271,1.55,77.254,0.637,56.0,0.199,55.149,0.153,61.682,0.562,61.307,0.627,60.567,0.286,Dead,80,111.11111111111111,Golden,55,80.0
3050.T,1421.0,22,86,,190377050112,9.732877,0.72821826,146.0,1951.338,0.2626,0.095,64.0,0.04539007,2.91,44.0,0.0312,1241.0,1607.0,none,1,1410.0,1432.0,1405.0,1421.0,1421.0,347700,3.441,12.91,-9.469,40.922,25.504,15.418,1583.744,-162.744,50.97,8.824,50.0,-8.855,-2.28,48.557,-0.024,16.044,-0.398,65.893,0.299,32.131,-0.523,68.471,0.436,92.608,0.967,12.319,-0.646,50.043,-0.086,14.163,-1.284,35.99,-0.06,45.447,-0.227,35.095,-0.113,Dead,35,144.58333333333334,Golden,60,80.08333333333334
3086.T,1827.0,21,86,-3751,468212613120,14.363208,1.1845214,127.2,1542.395,0.2377,0.303,58.0,0.03216861,2.83,44.0,0.024400001,1226.0,2039.5,none,6,1800.0,1830.0,1799.5,1827.0,1827.0,1559800,49.61,23.602,26.008,54.966,19.709,35.257,1226.0,601.0,73.713,99.32,66.667,-4.137,9.85,78.892,0.597,89.165,1.156,88.068,1.262,15.179,-1.106,88.149,1.233,51.888,-0.033,99.92,2.95,87.591,1.256,97.567,1.421,78.462,1.092,44.39,-0.185,76.923,0.681,Golden,25,160.0,Golden,15,105.60810810810811
3093.T,1296.0,38,86,-645,30373185536,9.487555,3.2736778,136.6,395.885,0.32439998,0.779,46.0,0.035853468,1.61,32.0,0.0249,1164.0,2169.0,hold,1,1284.0,1306.0,1271.0,1296.0,1296.0,438400,-96.518,-44.913,-51.605,15.598,56.932,-41.334,1488.547,-192.547,23.45,5.413,16.667,-72.308,-26.377,0.0,-2.566,1.079,-3.883,5.732,-1.621,93.171,1.654,5.732,-1.726,94.358,2.4,3.842,-1.797,5.968,-1.622,11.084,-1.45,0.122,-2.269,14.215,-1.375,7.284,-1.467,Dead,80,137.5,Dead,75,101.02941176470588
3101.T,932.0,65,115,-2624,82177515520,7.782881,0.42534745,119.75,2191.15,6.3090997,0.476,40.0,0.043149944,4.01,80.0,0.0863,885.0,1182.0,buy,3,931.0,935.0,929.0,932.0,932.0,276300,-28.622,-25.564,-3.058,15.126,42.857,-27.731,919.199,12.801,32.911,11.392,50.0,-79.419,-6.227,32.263,-0.319,41.814,-0.112,5.682,-1.481,71.591,0.572,15.666,-1.071,1.526,-1.352,51.486,0.074,16.707,-1.033,18.167,-1.156,41.296,0.087,13.186,-1.245,29.133,-0.413,Dead,40,147.60416666666666,Dead,200,-68.88059701492537
3105.T,876.4000244140625,66,24,,137741172736,8.021968,0.5527207,109.25,1585.611,2.4931,0.531,18.0,0.020515159,3.41,36.0,0.040999997,870.8,1361.0,none,1,876.5,880.4,871.5,876.4,876.4,1323900,-52.905,-48.71,-4.195,22.128,53.949,-31.821,985.115,-108.715,30.091,3.846,33.333,-78.667,-12.66,9.791,-1.265,34.189,-0.26,12.419,-1.121,91.315,1.453,9.497,-1.355,61.205,0.227,19.277,-0.771,8.84,-1.371,7.299,-1.526,5.749,-1.24,9.173,-1.483,13.912,-0.855,Dead,25,159.28571428571428,Dead,225,-93.63636363636363
3116.T,1949.5,59,115,,348227502080,7.034097,0.7815839,277.15,2494.294,0.37,0.369,86.0,0.044838373,3.19,86.0,0.0448,1635.5,2646.5,hold,7,1927.0,1961.0,1891.0,1949.5,1949.5,946100,-67.894,-96.061,28.167,30.226,29.549,0.677,1817.847,131.653,56.307,58.496,66.667,-57.265,-1.48,17.303,-0.672,86.853,0.892,30.472,-0.508,37.94,-0.391,47.124,-0.053,52.377,0.144,66.214,0.486,60.034,0.295,53.259,0.199,79.11,1.112,25.043,-0.969,43.203,-0.013,Golden,50,133.61702127659575,Golden,10,129.8360655737705
3132.T,1818.0,55,115,-67,326774587392,6.6534915,1.3195034,273.24,1377.791,0.36189997,0.696,75.0,0.04204036,2.93,70.0,0.0392,1480.6666,2963.6667,none,1,1770.0,1835.0,1728.0,1818.0,1818.0,1617200,-104.857,-101.758,-3.099,24.101,30.428,-6.328,1690.938,127.062,43.247,28.571,41.667,-73.607,-9.108,2.123,-1.861,34.395,-0.128,14.442,-1.134,42.67,-0.191,34.136,-0.48,86.383,1.333,85.745,0.615,27.293,-0.672,24.672,-0.887,12.609,-0.853,12.556,-1.486,21.029,-0.827,Dead,15,160.5,Dead,0,125.74074074074075
3151.T,1240.0,64,115,,60443553792,,0.56082106,,2211.044,0.3729,0.046,44.0,0.03568532,3.03,43.0,0.0349,1009.0,1439.0,none,,1231.0,1253.0,1224.0,1240.0,1240.0,150000,-10.035,-0.395,-9.64,36.94,40.958,-4.019,1333.003,-93.003,47.266,52.036,50.0,-64.718,-1.768,29.817,-0.519,9.967,-1.25,65.042,0.383,77.983,0.815,40.672,-0.24,98.919,2.698,11.554,-1.141,37.951,-0.258,47.775,-0.017,35.038,-0.012,14.673,-1.216,36.695,-0.228,Dead,137,13.701754385964904,Dead,97,12.102564102564102
3160.T,590.0,16,177,-2715,8663146496,,1.439537,,409.854,0.2317,-0.049,12.0,0.020512821,1.47,13.0,0.0222,520.0,698.0,none,,590.0,594.0,589.0,590.0,590.0,46400,-2.291,-2.619,0.328,32.374,41.727,-9.353,577.138,12.862,42.268,2.5,41.667,41.333,-3.329,30.11,-0.216,55.939,0.035,40.986,-0.334,70.986,0.546,34.507,-0.458,52.835,0.248,60.996,0.202,31.364,-0.554,3.938,-1.552,16.971,-0.75,61.66,0.569,20.571,-0.471,Golden,68,74.70270270270271,Dead,0,122.92857142857143
3167.T,928.0,58,115,,121233915904,12.729767,1.36195,72.9,681.376,0.5134,0.05,17.0,0.018518519,3.29,34.0,0.037,890.0,1025.0,none,1,920.0,931.0,916.0,928.0,928.0,301500,-11.405,-5.618,-5.787,24.138,44.335,-20.197,993.495,-65.495,35.878,13.793,33.333,-42.701,-3.892,22.986,-0.617,15.606,-0.806,21.803,-0.825,79.485,0.842,19.485,-0.882,91.511,1.519,13.497,-0.975,16.123,-1.017,16.895,-1.194,6.507,-1.229,29.029,-0.823,25.628,-0.343,Dead,60,120.52083333333334,Dead,70,66.53225806451613
3186.T,1442.0,35,-5,-2562,115723247616,7.5922713,1.6203413,189.93,889.936,0.31059998,0.815,32.0,0.022922637,0.9,66.0,0.0473,1356.0,3055.0,none,6,1457.0,1464.0,1394.0,1442.0,1442.0,1350800,-245.874,-229.642,-16.231,26.753,53.506,-26.753,1782.659,-340.659,34.343,12.251,58.333,-96.103,-31.67,0.725,-3.169,20.471,-0.425,17.658,-0.927,90.706,1.519,13.197,-1.265,69.691,0.584,13.43,-0.963,14.657,-1.124,15.213,-1.319,46.765,0.244,0.949,-2.043,6.629,-1.789,Dead,170,-11.599999999999994,Dead,165,-46.12903225806451
3191.T,1808.0,59,16,-2360,112626827264,13.462398,1.2137349,134.3,1489.617,0.3391,-0.209,38.0,0.021158129,2.35,54.0,0.0301,1743.0,2310.0,none,,1795.0,1809.0,1785.0,1808.0,1808.0,1044400,-65.501,-28.723,-36.778,11.215,61.282,-50.067,2095.056,-287.056,11.364,11.568,41.667,-81.06,-14.184,5.234,-1.753,2.43,-2.079,0.96,-1.975,98.273,2.18,0.96,-2.173,94.382,1.762,3.371,-1.838,0.0,-2.465,16.092,-1.309,18.702,-0.696,5.49,-1.487,4.697,-1.841,Dead,202,-2.555555555555543,Dead,82,41.0
3201.T,1279.0,38,-5,,88200470528,,0.7386663,,1731.499,0.25620002,0.098,49.0,0.038950715,2.73,40.0,0.0318,1119.0,1496.0,none,,1258.0,1289.0,1258.0,1279.0,1279.0,172200,-15.139,-14.443,-0.697,19.11,38.22,-19.11,1236.446,42.554,34.934,29.474,58.333,-60.479,-1.698,19.518,-0.778,48.588,-0.079,8.067,-1.396,61.513,0.367,17.395,-0.944,96.176,1.818,61.929,0.442,13.014,-1.133,28.38,-0.758,64.962,0.616,22.477,-1.097,37.119,-0.265,Dead,47,123.19607843137254,Dead,7,106.0
3271.T,633.0,66,206,-5059,17917634560,,2.2909632,,276.303,0.3024,0.611,29.0,0.045886077,6.33,76.0,0.120299995,361.0,717.0,none,,640.0,654.0,632.0,633.0,633.0,160600,37.013,41.989,-4.976,38.06,27.861,10.199,594.664,38.336,53.191,44.898,33.333,65.812,7.355,87.286,1.167,21.429,-0.595,52.478,0.078,32.07,-0.482,61.516,0.29,81.831,0.71,66.953,0.474,55.895,0.137,49.199,-0.119,3.628,-1.322,76.741,1.03,70.71,0.461,Dead,35,143.44827586206895,Golden,105,-5.2040816326530575
3289.T,1002.0,66,115,,715036229632,9.220576,0.9116799,108.67,1099.07,0.4383,0.51,34.0,0.034143403,2.81,34.0,0.0341,822.9,1266.5,buy,10,980.0,1004.5,977.5,1002.0,1002.0,4842700,-17.15,-15.964,-1.186,34.721,39.667,-4.946,925.549,76.451,47.265,52.59,50.0,-74.564,-1.578,30.435,-0.57,43.116,-0.11,41.45,-0.219,62.082,0.41,38.848,-0.33,87.477,1.152,75.136,0.8,40.074,-0.267,50.278,0.029,37.893,-0.056,12.713,-1.343,40.72,-0.075,Dead,195,-10.476190476190482,Dead,5,98.10810810810811
3321.T,1205.0,22,177,,9597523968,,0.6459062,,1865.596,0.2931,0.626,45.0,0.03784693,3.88,50.0,0.0421,947.0,1292.0,none,,1201.0,1212.0,1184.0,1205.0,1205.0,134700,9.737,3.498,6.239,42.708,23.333,19.375,1041.76,163.24,69.231,83.465,41.667,44.821,5.291,68.555,0.21,70.801,0.374,68.812,0.441,19.604,-0.904,73.168,0.707,75.66,0.737,93.451,1.253,81.602,1.026,79.228,1.071,22.804,-0.462,65.866,0.721,71.7,0.475,Golden,5,192.89473684210526,Golden,10,117.36842105263158
3333.T,1594.0,20,78,-5548,41507917824,9.654755,1.0506216,165.1,1517.197,0.35799998,0.295,47.5,0.030044276,2.15,50.0,0.031600002,1239.0,1755.0,none,,1569.0,1605.0,1566.0,1594.0,1594.0,81700,33.195,46.488,-13.293,40.342,24.939,15.403,1698.693,-104.693,59.69,44.255,58.333,58.701,3.297,77.09,0.581,16.178,-0.846,64.498,0.348,20.287,-0.827,73.76,0.606,93.804,1.461,29.674,-0.656,73.018,0.62,47.577,-0.157,65.824,0.717,77.344,0.946,67.447,0.32,Dead,35,161.71428571428572,Golden,245,-128.54545454545456
3401.T,1326.5,65,115,-2988,255584714752,3.6905656,0.7265316,359.43,1825.798,0.44990003,0.324,40.0,0.03028009,3.11,50.0,0.0379,1156.5,1658.0,none,5,1322.0,1336.5,1318.5,1326.5,1326.5,746700,-12.368,-6.901,-5.467,22.264,33.957,-11.693,1309.779,16.721,46.28,10.197,58.333,-18.632,-3.083,43.82,-0.101,36.356,-0.201,18.994,-0.99,48.458,-0.069,33.929,-0.474,18.554,-0.872,48.353,0.093,41.2,-0.27,16.951,-1.214,62.267,0.597,44.472,-0.314,40.917,-0.128,Dead,15,172.8125,Dead,5,133.30769230769232
3407.T,1092.0,64,115,,1513784999936,10.891682,0.85664594,100.26,1274.739,0.6817,,36.0,0.033723652,3.42,36.0,0.0337,901.2,1169.0,buy,11,1094.0,1115.5,1090.5,1092.0,1092.0,7107300,15.174,10.041,5.132,45.356,27.97,17.387,947.813,144.187,61.927,58.865,58.333,66.769,3.985,65.73,0.333,66.934,0.458,72.808,0.632,35.39,-0.447,69.481,0.557,70.763,0.586,94.137,1.401,70.316,0.531,51.014,0.132,55.709,0.427,72.072,0.894,60.884,0.365,Golden,75,116.80851063829786,Golden,15,114.92753623188406
3431.T,1925.0,66,115,-67,51049267200,,1.3222443,,1455.858,0.5381,0.465,53.5,0.028442318,3.59,110.0,0.0585,1545.0,2530.0,none,,1892.0,1931.0,1874.0,1925.0,1925.0,316400,-45.866,-8.134,-37.733,18.773,52.025,-33.252,2217.039,-292.039,27.11,20.382,25.0,-87.692,-11.243,2.469,-1.288,1.425,-3.075,10.395,-1.209,88.547,1.225,10.106,-1.271,98.289,4.143,1.426,-2.509,8.846,-1.324,26.442,-0.895,2.207,-1.573,6.323,-1.389,24.587,-0.617,Dead,125,92.14285714285714,Dead,90,49.16666666666666
3433.T,1792.0,57,115,-2472,106543898624,13.157123,1.8344567,136.2,976.856,0.5003,0.567,28.0,0.015792442,2.94,66.0,0.0372,1373.0,2085.0,strong_buy,2,1781.0,1809.0,1780.0,1792.0,1792.0,124800,2.974,12.952,-9.978,34.848,46.078,-11.23,1547.779,244.221,46.588,52.0,41.667,-52.342,-3.44,40.673,-0.171,19.904,-0.787,41.228,-0.286,79.63,0.892,27.68,-0.621,96.054,1.791,95.38,1.703,35.54,-0.43,43.233,-0.131,17.784,-0.68,21.379,-1.049,32.283,-0.197,Dead,130,74.86111111111111,Dead,5,116.9672131147541
3454.T,1013.0,38,-5,-2653,14205602816,,0.5938792,,1705.734,0.7918,0.404,65.0,0.06506506,3.37,67.0,0.0671,912.0,1330.0,none,,1017.0,1018.0,987.0,1013.0,1013.0,322800,-17.974,-14.982,-2.992,29.145,53.229,-24.084,1175.0,-162.0,39.246,13.83,50.0,-53.436,-12.648,32.64,-0.379,35.343,-0.143,26.767,-0.6,90.792,1.356,14.133,-1.049,78.542,0.763,17.292,-0.845,22.436,-0.745,16.453,-1.201,33.404,-0.089,30.044,-0.942,15.317,-0.589,Dead,0,197.5,Dead,0,92.02702702702703
3475.T,885.0,10,-34,-1496,25498796032,5.983773,2.084084,147.9,424.647,1.6603,0.445,35.0,0.039727584,4.56,72.0,0.0817,606.0,949.0,none,,879.0,890.0,874.0,885.0,885.0,617500,9.827,10.356,-0.528,36.851,34.673,2.178,931.054,-46.054,54.214,66.272,50.0,35.248,5.69,49.751,-0.076,44.03,-0.059,38.144,-0.419,62.371,0.306,36.598,-0.393,96.01,1.571,30.424,-0.455,48.072,-0.123,61.183,0.413,14.322,-0.666,51.724,0.18,59.788,0.134,Dead,27,153.3125,Golden,0,99.21739130434783
3565.T,837.0,8,58,-1587,11697744896,,3.4253583,,244.354,0.24219999,0.314,10.0,0.011764706,1.01,30.0,0.0353,409.0,856.0,none,,842.0,847.0,823.0,837.0,837.0,228900,35.641,19.02,16.62,63.181,18.625,44.556,573.947,263.053,74.573,96.96,58.333,63.419,27.833,79.576,0.526,82.228,0.79,98.898,2.304,8.54,-1.408,98.072,1.889,14.894,-0.862,89.362,1.021,95.879,1.616,95.33,1.603,69.672,0.855,80.682,1.095,98.584,1.766,Golden,68,124.5,Golden,13,133.66666666666666
3608.T,942.0,38,86,,67179106304,13.361702,0.7246449,68.9,1299.947,0.47509998,0.094,15.0,0.016853932,3.28,38.0,0.0427,636.0,1086.0,strong_buy,1,863.0,954.0,860.0,942.0,942.0,685100,16.003,22.527,-6.524,45.143,35.32,9.823,844.676,97.324,54.731,43.969,58.333,-7.35,3.953,66.311,0.442,20.732,-0.788,75.857,0.727,53.115,0.084,61.682,0.339,89.618,1.209,82.748,0.997,58.787,0.223,46.19,-0.18,53.488,0.419,43.582,-0.194,60.918,0.29,Dead,30,138.79310344827587,Golden,10,101.62790697674419
3635.T,1777.0,55,115,-1344,561242308608,18.395815,3.270452,94.73,543.35,0.5552,0.302,54.0,0.030673103,2.48,96.0,0.0545,1220.5,1952.0,hold,7,1737.0,1795.5,1721.5,1777.0,1777.0,1502300,25.058,-0.306,25.364,57.245,21.401,35.844,1481.5,295.5,72.923,95.02,50.0,78.735,14.025,83.8,0.336,96.353,2.137,94.764,1.618,18.884,-0.897,89.957,1.299,83.786,1.111,97.963,2.325,88.079,1.21,89.966,1.303,33.647,-0.088,82.582,1.053,89.957,1.144,Golden,155,9.615384615384613,Golden,30,73.76543209876543
3663.T,1382.0,-25,24,-1253,43187085312,,7.4989686,,184.292,0.4749,1.519,12.0,0.008765522,0.9,36.0,0.026300002,664.0,1418.0,none,,1384.0,1394.0,1364.0,1382.0,1382.0,188500,137.306,116.803,20.502,55.114,14.201,40.914,1216.72,165.28,80.252,97.327,83.333,90.838,23.245,99.839,3.515,92.937,1.612,88.177,1.181,10.345,-1.266,90.312,1.268,99.196,2.613,88.907,1.202,95.246,1.656,97.049,1.579,98.693,2.368,96.154,1.416,84.808,0.97,Golden,103,47.34482758620689,Golden,103,12.131578947368425
3675.T,661.0,70,24,-3842,12605798400,,3.2432008,,203.811,0.21069999,1.288,3.1,0.0047400612,1.55,14.0,0.0214,421.0,747.0,none,,655.0,666.0,650.0,661.0,661.0,66500,22.212,26.491,-4.28,33.184,38.341,-5.157,561.422,99.578,50.82,15.909,41.667,66.974,2.566,79.497,0.537,24.025,-0.409,41.101,-0.29,62.612,0.364,38.156,-0.344,72.796,0.545,82.997,0.893,49.872,0.021,23.018,-0.978,16.071,-0.644,76.104,1.026,55.642,0.087,Dead,15,167.96875,Dead,0,154.02777777777777
3679.T,528.0,65,115,-2533,53025456128,10.434783,2.9618495,50.6,178.267,0.1331,1.107,5.0,0.009560229,0.96,15.0,0.0287,447.0,677.0,none,2,529.0,537.0,521.0,528.0,528.0,522700,-9.206,-2.698,-6.508,32.041,32.558,-0.517,625.746,-97.746,49.664,11.65,58.333,-52.821,-8.689,43.382,-0.167,26.838,-0.484,40.566,-0.257,42.642,-0.193,47.925,-0.032,65.93,0.379,26.151,-0.653,50.282,0.008,18.456,-1.113,67.542,0.754,29.094,-0.841,34.231,-0.321,Dead,20,229.6875,Dead,0,119.21875
3857.T,1156.0,65,115,-8561,34888081408,14.954721,2.312194,77.3,499.958,0.5218,0.405,14.0,0.012110727,2.91,26.0,0.0225,682.0,1158.0,none,,1156.0,1157.0,1156.0,1156.0,1156.0,379900,64.15,20.392,43.758,70.996,16.883,54.113,729.543,426.457,81.229,99.775,50.0,2.496,28.08,85.869,0.239,76.418,0.009,99.727,2.493,12.397,-1.183,98.086,1.9,30.45,-0.458,90.991,0.255,96.63,1.852,99.18,1.749,49.364,0.237,55.801,0.149,93.652,0.147,Golden,15,259.5,Golden,15,99.42028985507247
