銘柄番号,現在価格,決算日まで,権利落ちまで,分割日まで,時価総額,予想PER,PBR,予想EPS,BPS,配当性向,ベータ値,過去配当額,過去配当利回り,平均配当利回り,現在配当額,現在配当利回り,52週安値,52週高値,推奨,アナリスト意見数,Open,High,Low,Close,Adj Close,Volume,MACD,Signal_Line,MACD_Signal_difference,DI+,DI-,DI+DI-_difference,Parabolic_SAR,Parabolic_SAR_difference,RSI_14,%K,Psychological_Line,RCI_26,MA_Deviation,MACD_Percentile,MACD_Current Deviation,MACD_Signal_difference_Percentile,MACD_Signal_difference_Current Deviation,DI+_Percentile,DI+_Current Deviation,DI-_Percentile,DI-_Current Deviation,DI+DI-_difference_Percentile,DI+DI-_difference_Current Deviation,Parabolic_SAR_Percentile,Parabolic_SAR_Current Deviation,Parabolic_SAR_difference_Percentile,Parabolic_SAR_difference_Current Deviation,RSI_14_Percentile,RSI_14_Current Deviation,%K_Percentile,%K_Current Deviation,Psychological_Line_Percentile,Psychological_Line_Current Deviation,RCI_26_Percentile,RCI_26_Current Deviation,MA_Deviation_Percentile,MA_Deviation_Current Deviation,MACD_Signal_Line_Last_Cross,MACD_Signal_Line_Last_Cross_Day,MACD_Signal_Line_Next_Cross_Day,DI+_DI-_Last_Cross,DI+_DI-_Last_Cross_Day,DI+_DI-_Next_Cross_Day
9101.T,5020.0,62,115,-796,2233829687296,9.798181,0.80992955,512.34,6198.07,0.2534,1.219,80.0,0.016546018,7.82,260.0,0.0538,3705.0,5543.0,hold,9,4950.0,5036.0,4950.0,5020.0,5020.0,7066600,109.083,129.42,-20.337,35.817,37.253,-1.436,4546.817,473.183,48.392,62.329,41.667,28.547,1.984,82.182,0.728,14.815,-0.63,45.584,-0.133,55.431,0.14,46.193,-0.14,98.597,2.37,91.182,1.254,43.813,-0.211,56.897,0.317,19.939,-0.602,55.749,0.324,53.641,0.168,Dead,18,147.79545454545453,Dead,0,155.17391304347825
9104.T,5286.0,59,115,-979,1916254289920,9.394494,0.71949214,562.67,7346.849,0.2945,,290.0,0.056277897,7.77,300.0,0.0582,3900.0,5559.0,hold,10,5248.0,5370.0,5238.0,5286.0,5286.0,5232600,142.943,111.162,31.781,46.237,29.565,16.672,4506.012,779.988,55.756,68.871,66.667,57.06,6.226,86.597,0.76,86.356,0.684,69.237,0.573,36.932,-0.351,65.666,0.472,93.494,1.997,95.743,1.65,55.231,0.171,57.097,0.415,80.162,1.14,64.128,0.667,60.147,0.327,Golden,25,156.3,Golden,35,104.765625
