銘柄番号,現在価格,決算日まで,権利落ちまで,分割日まで,時価総額,予想PER,PBR,予想EPS,BPS,配当性向,ベータ値,過去配当額,過去配当利回り,平均配当利回り,現在配当額,現在配当利回り,52週安値,52週高値,推奨,アナリスト意見数,Open,High,Low,Close,Adj Close,Volume,MACD,Signal_Line,MACD_Signal_difference,DI+,DI-,DI+DI-_difference,Parabolic_SAR,Parabolic_SAR_difference,RSI_14,%K,Psychological_Line,RCI_26,MA_Deviation,MACD_Percentile,MACD_Current Deviation,MACD_Signal_difference_Percentile,MACD_Signal_difference_Current Deviation,DI+_Percentile,DI+_Current Deviation,DI-_Percentile,DI-_Current Deviation,DI+DI-_difference_Percentile,DI+DI-_difference_Current Deviation,Parabolic_SAR_Percentile,Parabolic_SAR_Current Deviation,Parabolic_SAR_difference_Percentile,Parabolic_SAR_difference_Current Deviation,RSI_14_Percentile,RSI_14_Current Deviation,%K_Percentile,%K_Current Deviation,Psychological_Line_Percentile,Psychological_Line_Current Deviation,RCI_26_Percentile,RCI_26_Current Deviation,MA_Deviation_Percentile,MA_Deviation_Current Deviation,MACD_Signal_Line_Last_Cross,MACD_Signal_Line_Last_Cross_Day,MACD_Signal_Line_Next_Cross_Day,DI+_DI-_Last_Cross,DI+_DI-_Last_Cross_Day,DI+_DI-_Next_Cross_Day
9101.T,5273.0,33,84,-827,2323246743552,10.291993,0.8507487,512.34,6198.07,0.2534,1.219,80.0,0.015316867,7.86,260.0,0.0493,3936.0,5543.0,none,9,5230.0,5345.0,5229.0,5273.0,5273.0,4629800,109.866,109.868,-0.003,36.309,29.847,6.462,4609.17,663.83,47.66,85.246,58.333,47.624,5.868,82.353,0.733,45.065,-0.013,46.613,-0.099,35.693,-0.35,55.106,0.137,98.603,2.39,94.611,1.767,42.424,-0.251,74.343,0.984,58.266,0.412,62.168,0.608,64.964,0.404,Dead,45,120.79545454545453,Golden,10,147.44444444444446
9104.T,5508.0,28,84,-1010,1971693158400,9.7890415,0.7497091,562.67,7346.849,0.2945,,290.0,0.053654023,7.83,300.0,0.0545,3992.0,5559.0,none,10,5426.0,5532.0,5426.0,5508.0,5508.0,4392200,145.92,127.446,18.474,49.071,23.921,25.149,4804.647,703.353,61.707,94.185,58.333,74.154,8.747,86.8,0.777,75.6,0.394,75.485,0.779,25.89,-0.742,75.809,0.78,94.956,2.204,93.915,1.475,67.34,0.506,85.287,1.178,58.676,0.583,75.102,0.93,68.352,0.452,Golden,52,129.3,Golden,62,77.765625
