銘柄番号,現在価格,決算日,決算日まで,配当落ち日,権利落ちまで,株分割日,分割日まで,時価総額,予想PER,過去PER,PBR,過去EPS,予想EPS,BPS,配当性向,ベータ値,過去配当額,過去配当利回り,平均配当利回り,現在配当額,現在配当利回り,株分割比率,52週安値,52週高値,200日平均,50日平均,取引量,10日平均取引量,一株売上高,自己資本比率,推奨,アナリスト意見数,Open,High,Low,Close,Adj Close,Volume,Price_Change,Price_Change_Percent,Up,Down,Price_width,Price_width_relative,ma5,ma20,ma50,ma75,ma100,ma200,MACD,Signal_Line,MACD_Signal_difference,MA20,STD20,Top2,Bot2,Top1,Bot1,bands_Range2,bands_Range1,MA_band,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,TR,DM+,DM-,TR14,DM+14,DM-14,DI+,DI-,DX,ADX,ADX-R,Parabolic_SAR,MA,Envelope Upper,Envelope Lower,RSI_9,RSI_14,%K,%K_smooth,%D,Psychological_Line,RCI_9,RCI_14,RCI_26,MA_Deviation,ma5_up_down,ma20_up_down,ma50_up_down,ma75_up_down,ma100_up_down,ma200_up_down,MACD_up_down,Signal_Line_up_down,MACD_Signal_difference_up_down,RSI_9_up_down,RSI_14_up_down,RCI_9_up_down,RCI_14_up_down,RCI_26_up_down,Volume_statistics,MACD_statistics,Signal_Line_statistics,MACD_Signal_difference_statistics,MA_band_statistics,Parabolic_SAR_statistics,RSI_9_statistics,RSI_14_statistics,%K_statistics,%K_smooth_statistics,%D_statistics,Psychological_Line_statistics,RCI_9_statistics,RCI_14_statistics,RCI_26_statistics,MA_Deviation_statistics,MACDSignal_Line_cross
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4415359.401,4.983,4.947,0.037,0.107,1898.532,51.491,51.441,52.109,52.1,52.094,46.616,5.772,6.624,8.008,-0.008,247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4209281.354,68.541,64.851,19.808,1.308,1324.237,21.387,17.273,30.927,28.884,28.051,14.267,65.731,64.923,64.63,7.557,36.65447154471545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082,1.141,0.799,1.332,1.045,2.233,1.226,0.636,0.939,0.777,0.696,0.237,1.231,1.032,1.014,0.66,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,5.0,5.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,3962475.0,-5.005,-4.775,-1.827,-0.951,216.653,35.484,38.636,22.756,24.321,25.358,33.333,-60.0,-57.363,-54.085,-4.016,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7805700.0,0.824,0.967,0.152,0.152,319.56,51.429,51.627,52.542,52.675,52.645,50.0,11.667,12.527,14.598,0.48,Golden
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15164775.0,7.715,7.328,1.917,1.152,755.294,67.391,64.144,80.0,78.482,77.176,58.333,71.667,68.791,69.573,4.815,251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6212.0,6212.0,6212.0,6212.0,6193.0,6211.0,6204.0,6199.0,6199.0,6197.0,6195.0,6201.0,6204.0,6199.0,6187.0,6188.0,36.224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13578636.21,2.183,2.179,0.004,0.106,536.953,51.127,51.22,51.289,51.28,51.274,45.993,5.872,6.202,7.619,-0.041,250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18190253.989,22.91,21.553,6.948,1.296,497.283,21.691,17.443,31.105,29.081,28.23,14.243,66.014,64.6,63.989,8.296,36.22489959839358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.272,0.617,0.174,1.494,1.233,3.042,1.258,0.565,1.048,0.58,0.398,0.281,1.173,0.2,0.454,0.569,
