銘柄番号,現在価格,決算日,決算日まで,配当落ち日,権利落ちまで,株分割日,分割日まで,時価総額,予想PER,過去PER,PBR,過去EPS,予想EPS,BPS,配当性向,ベータ値,過去配当額,過去配当利回り,平均配当利回り,現在配当額,現在配当利回り,株分割比率,52週安値,52週高値,200日平均,50日平均,取引量,10日平均取引量,一株売上高,自己資本比率,推奨,アナリスト意見数,Open,High,Low,Close,Adj Close,Volume,Price_Change,Price_Change_Percent,Up,Down,Price_width,Price_width_relative,ma5,ma20,ma50,ma75,ma100,ma200,MACD,Signal_Line,MACD_Signal_difference,MA20,STD20,Top2,Bot2,Top1,Bot1,bands_Range2,bands_Range1,MA_band,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,TR,DM+,DM-,TR14,DM+14,DM-14,DI+,DI-,DX,ADX,ADX-R,Parabolic_SAR,MA,Envelope Upper,Envelope Lower,RSI_9,RSI_14,%K,%K_smooth,%D,Psychological_Line,RCI_9,RCI_14,RCI_26,MA_Deviation,ma5_up_down,ma20_up_down,ma50_up_down,ma75_up_down,ma100_up_down,ma200_up_down,MACD_up_down,Signal_Line_up_down,MACD_Signal_difference_up_down,RSI_9_up_down,RSI_14_up_down,RCI_9_up_down,RCI_14_up_down,RCI_26_up_down,Volume_statistics,MACD_statistics,Signal_Line_statistics,MACD_Signal_difference_statistics,MA_band_statistics,Parabolic_SAR_statistics,RSI_9_statistics,RSI_14_statistics,%K_statistics,%K_smooth_statistics,%D_statistics,Psychological_Line_statistics,RCI_9_statistics,RCI_14_statistics,RCI_26_statistics,MA_Deviation_statistics,MACDSignal_Line_cross
3350.T,1586.0,20241113.0,3.0,,,20240730.0,-103.0,57518034944.0,,,12.446146,-269.3,,127.429,,0.327,,,,,,1:10,140.0,3000.0,760.49,1199.02,4381800.0,4917580.0,24.373,48.942,none,,1946.0,2188.0,1586.0,1586.0,1586.0,4381800.0,-500.0,-0.315,False,True,602.0,602.0,1811.6,1339.25,1199.02,1257.573,1181.68,749.89,194.581,125.45,69.132,1339.25,335.356,2009.961,668.539,1674.606,1003.894,1341.422,670.711,0.736,1820.5,1723.0,1245.5,1798.0,,602.0,0.0,444.0,3360.0,1502.0,620.0,44.702,18.452,41.565,54.658,38.81,,1265.52,1328.796,1202.244,64.322,60.609,36.067,68.489,85.231,58.333,80.0,82.418,88.786,20.207,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,99.676,88.486,86.827,84.379,78.602,26.533,82.394,82.751,54.494,87.031,96.65,89.84,85.184,89.978,95.627,95.547,Golden
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,244.0,-157.583,-160.1,-19.313,-1.166,1271.63,31.818,34.311,15.385,16.667,17.46,25.0,-60.0,-63.956,-67.658,-8.507,31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720.0,-15.654,-14.689,0.663,-0.444,3340.088,45.882,45.98,33.333,33.333,33.333,33.333,-1.667,-6.813,-18.085,-2.34,Golden
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13097.5,16.711,14.457,26.418,0.586,8572.875,59.477,57.143,55.172,55.28,54.439,41.667,60.0,56.484,46.393,3.058,189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4942.0,4942.0,4942.0,4942.0,4921.0,4941.0,4913.0,4922.0,4929.0,4927.0,4925.0,4931.0,4934.0,4929.0,4917.0,4918.0,38.638297872340424
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78218.621,-281.553,-281.655,0.102,-0.262,34631.701,44.896,45.489,37.326,37.316,37.299,33.632,0.768,-3.72,-10.252,-3.18,189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497707.912,5516.226,5239.978,1541.767,1.249,93337.975,20.715,16.626,27.313,24.635,23.76,15.394,63.111,62.144,60.986,15.129,38.45744680851064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.647,0.086,0.078,0.045,0.799,-0.356,0.938,0.909,-0.046,1.265,2.017,1.605,1.255,1.386,1.624,1.546,
